Date of Sale (dd/mm/yyyy),Address,Street Name,Price
01/01/2015,"APT 274, THE PARKLANDS, NORTHWOOD",the park,"€79,500.00"
05/01/2015,"61 CHARLEMONT, GRIFFITH AVE, DUBLIN 9",charlemont,"€557,000.00"
06/01/2015,"6A Church Street, Finglas, Dublin 11",church street,"€160,000.00"
06/01/2015,"APARTMENT 13 MOUNTGORRY WOOD, MALAHIDE ROAD, SWORDS",malahide road,"€140,000.00"
07/01/2015,"15 THE TANNERY, 50 CORK ST, DUBLIN 8",cork street,"€200,000.00"
07/01/2015,"53 RINGSEND RD, RINGSEND, DUBLIN 4",ringsend road,"€6,000.00"
07/01/2015,"66 BUSHY PARK RD, TERENURE, DUBLIN 6",bushy park,"€950,000.00"
07/01/2015,"APT 1, 82 SOUTH CIRCULAR RD, DUBLIN 8",south circular road,"€147,000.00"
09/01/2015,"2 GREENVIEW SEABROOK MANOR, STATION RD, PORTMARNOCK",manor street,"€245,000.00"
09/01/2015,"263 Orwell Park Glade, Templeogue",orwell park,"€470,000.00"
09/01/2015,"33 MCGOVERNS CORNER, CORK ST, DUBLIN 8",cork street,"€150,000.00"
09/01/2015,"43 Lower Buckingham Street, Dublin 1",buckingham street,"€185,000.00"
09/01/2015,"46 THE PARKLANDS, CASTLESIDE DR, PARKLANDS DUBLIN 14",the park,"€287,500.00"
09/01/2015,"6 MCMAHON ST, SOUTH CIRCULAR RD, DUBLIN 6",south circular road,"€690,000.00"
09/01/2015,"9 GREENVIEW, SEABROOK MANOR, STATION RD",manor street,"€310,000.00"
09/01/2015,"Apartment 14 Barley House, 90-97 Cork Street, Dublin 8",cork street,"€225,000.00"
09/01/2015,"APT 186 BUSHY PARK HOUSE, TERENURE, DUBLIN 6W",bushy park,"€360,000.00"
09/01/2015,"CEDAR HOUSE, GLENAULIN PARK, CHAPELIZOD DUBLIN 20",glenaulin park,"€967,000.00"
12/01/2015,"299 CARNLOUGH RD, CABRA WEST, DUBLIN 7",carnlough road,"€225,000.00"
12/01/2015,"47 BUSHY PARK HOUSE, TERENURE, DUBLIN 6W",bushy park,"€350,000.00"
12/01/2015,"Apartment 9, 109 Parnell Street",parnell street,"€125,000.00"
13/01/2015,"65 LEINSTER RD, RATHMINES, DUBLIN 6",leinster road,"€1,020,000.00"
13/01/2015,"67 MARLBOROUGH MEWS, NORTH CIRCULAR ROAD, DUBLIN 7",north circular road,"€230,000.00"
13/01/2015,"APT 2 HOUSE 7, LINDEN SQ, GROVE AVE",grove avenue,"€368,000.00"
14/01/2015,"110 Seven Oaks, Sarsfield Road",seven oaks,"€65,208.02"
14/01/2015,"14 CLEARWATER COURT NORTH, ROYAL CANAL PARK, RATOATH RD DUBLIN 15",clearwater,"€215,000.00"
14/01/2015,"21 kincora Court, Clontarf",kincora court,"€462,000.00"
15/01/2015,"195 MOURNE RD DRIMNAGH, DUBLIN 12, DUBLIN",mourne road,"€35,190.60"
15/01/2015,"45 CHURCH ST, SKERRIES, DUBLIN",church street,"€240,000.00"
15/01/2015,"69 MARLBOROUGH MEWS, NORTH CIRCULAR ROAD, DUBLIN 7",north circular road,"€220,000.00"
16/01/2015,"105 CRUMLIN RD, CRUMLIN, DUBLIN 12",crumlin road,"€255,000.00"
16/01/2015,"13 ST MARGARETS AVE, KILBARRACK, DUBLIN 5",st margarets avenue,"€545,000.00"
16/01/2015,"2 ST ALBANS RD, SOUTH CIRCULAR ROAD, DUBLIN",st albans road,"€570,000.00"
16/01/2015,"32 Clancy Avenue, Finglas East",clancy avenue,"€250,000.00"
